img_idx,IoU_bg,IoU_pet,mIoU,Dice_bg,Dice_pet,mDice
57,0.3052471397153511,0.7949600798389971,0.5501036097771741,0.4677231313939819,0.8857690917675481,0.676746111580765
58,0.12340545492900552,0.8050011758237752,0.46420331537639037,0.21969887076399183,0.8919674808038669,0.5558331757839293
59,0.30783388933270633,0.9042793509371552,0.6060566201349308,0.4707538042002748,0.949733924796413,0.710243864498344
60,0.27452540638542083,0.8988926030942176,0.5867090047398192,0.4307884409522762,0.9467545469706768,0.6887714939614765
61,0.2019845932863039,0.9044835831144346,0.5532340882003692,0.336085161847316,0.949846552770297,0.6429658573088065
62,0.3496538916060303,0.8745154249586694,0.6120846582823498,0.5181386039497239,0.9330575927140757,0.7255980983318998
63,0.1655967164798695,0.7458366058107265,0.455716661145298,0.28414067084879174,0.8544174218003374,0.5692790463245646
64,0.28132231404726177,0.8600399150182514,0.5706811145327566,0.4391124870972709,0.9247542572330362,0.6819333721651535
65,0.40587995099626495,0.9054580896671451,0.655669020331705,0.5774034272394902,0.9503836317127448,0.7638935294761175
66,0.2059266118739909,0.8924039713272387,0.5491652916006148,0.34152428488825565,0.9431432028768685,0.642333743882562
67,0.1279742155642433,0.856682142521957,0.4923281790431001,0.22690982435308082,0.9228096968265271,0.574859760589804
68,0.131076310309305,0.8502215703394548,0.4906489403243799,0.23177270908177852,0.9190483820632003,0.5754105455724894
69,0.02579405219476235,0.852468558997484,0.4391313055961232,0.050290898333001766,0.9203595438713643,0.485325221102183
70,0.18786349171307073,0.8840404863360428,0.5359519890245568,0.31630484988160457,0.9384516869435924,0.6273782684125985
71,0.3622425274867412,0.8646685727416861,0.6134555501142136,0.53183265120207,0.9274233345074662,0.7296279928547681
72,0.3077240241848856,0.9204227688501502,0.6140733965175179,0.47062532842385046,0.9585626496203768,0.7145939890221137
73,0.3088997256886788,0.9285927978697057,0.6187462617791922,0.47199906857059026,0.9629744535968559,0.717486761083723
74,0.11866931479544299,0.8338585379538331,0.47626392637463805,0.21216156235972655,0.9094033380396164,0.5607824501996714
75,0.3030332209888971,0.8839859590618795,0.5935095900253883,0.4651197162247626,0.9384209630756011,0.7017703396501819
76,0.007684918347619518,0.9053567065708139,0.4565208124592167,0.015252621544085595,0.950327782140321,0.4827902018422033
77,0.2746458788832147,0.8782064584084183,0.5764261686458165,0.43093675417339694,0.9351543377745656,0.6830455459739813
78,0.08883297851579576,0.9276549318485369,0.5082439551821664,0.1631709918207755,0.9624699073697348,0.5628204495952551
79,0.15530969742556944,0.8417474051146432,0.4985285512701063,0.26886244921453234,0.9140747561550081,0.5914686026847702
80,0.18809425382195022,0.8767028689797277,0.532398561400839,0.3166318719527085,0.9343011975639474,0.6254665347583279
81,0.22078746824491122,0.8839716312042806,0.5523795497245959,0.3617131957658946,0.9384128896242714,0.650063042695083
82,0.2681214216239805,0.8925524153885677,0.5803369185062741,0.4228639577440764,0.9432260983961325,0.6830450280701045
83,0.23019721952424513,0.9257237334649898,0.5779604764946175,0.3742444152381834,0.9614294276773733,0.6678369214577784
84,0.3322252442799212,0.8934895080161742,0.6128573761480477,0.498752362945189,0.943749098406456,0.7212507306758225
85,0.1601283880152148,0.8899344124368818,0.5250314002260483,0.276052874267076,0.9417622183929655,0.6089075463300208
86,0.40183646698292697,0.9115421920450831,0.656689329514005,0.5733000623785612,0.9537243758871577,0.7635122191328595
87,0.19216837983169682,0.8701964670522546,0.5311824234419757,0.3223846280150896,0.9305936380297318,0.6264891330224107
88,0.1677631578927659,0.8894989704859152,0.5286310641893406,0.2873239436590812,0.9415183436243589,0.6144211436417201
89,0.047740835463806634,0.9144140002437869,0.48107741785379676,0.09113100081218664,0.9552938916319488,0.5232124462220678
90,0.33817389725596136,0.8820255622053357,0.6100997297306485,0.5054259359705274,0.9373151777723873,0.7213705568714573
91,0.23498335504244475,0.8302910626260972,0.532637208834271,0.3805449750929942,0.9072776233030364,0.6439112991980153
92,0.14077877620730872,0.8749299283698615,0.5078543522885851,0.24681170292341698,0.933293468871725,0.590052585897571
93,0.07823756072978524,0.8296647162613702,0.4539511384955777,0.14512119328662895,0.9069035532987251,0.526012373292677
94,0.4583653318655143,0.9195377945811148,0.6889515632233145,0.6286015195920515,0.9580825104637006,0.793342015027876
95,0.19360858408993384,0.8355010627147869,0.5145548234023604,0.3244088332986489,0.9103792742882361,0.6173940537934425
96,0.1900908889370977,0.7646926222896907,0.4773917556133942,0.31945608642861384,0.8666581506953899,0.5930571185620018
97,0.19834462903977482,0.7852126821887139,0.49177865561424433,0.3310310310293742,0.8796853058718183,0.6053581684505962
98,0.16760244699432159,0.8436634349017192,0.5056329409480205,0.287088207849802,0.9152033054739112,0.6011457566618565
