img_idx,IoU_bg,IoU_pet,mIoU,Dice_bg,Dice_pet,mDice
216,0.012327876268803325,0.463425499231239,0.23787668775002116,0.024355500935607753,0.633343480040062,0.3288494904878349
217,0.06385177911557442,0.42554507254352564,0.24469842582955004,0.1200388632496477,0.5970278747963371,0.35853336902299243
218,0.08004699786075363,0.5143688671885457,0.29720793252464967,0.1482287308224596,0.6793178047082824,0.413773267765371
219,0.14198084979011974,0.5283018867915837,0.3351413682908517,0.2486571465996367,0.6913580246906139,0.4700075856451253
220,0.11294335756424613,0.40294880635667596,0.25794608196046104,0.20296335262098245,0.5744312330299428,0.3886972928254626
221,0.08323803498848333,0.39341543910425275,0.23832673704636803,0.1536837376456566,0.5646778815041077,0.35918080957488213
222,0.07726179127478659,0.6815646833964947,0.37941323733564064,0.14344106864378475,0.8106315387402664,0.47703630369202554
223,0.12228355064895532,0.4599343724356687,0.29110896154231203,0.2179191712793891,0.6300754076614297,0.4239972894704094
224,0.10520412741113304,0.41448258990391507,0.25984335865752406,0.19037954130259482,0.5860554139900309,0.38821747764631287
225,0.09818646232414256,0.4277053750884593,0.2629459187063009,0.17881564869475086,0.5991507527412077,0.38898320071797926
226,0.07955842280532045,0.36379587894339377,0.2216771508743571,0.1473906758998395,0.53350488084074,0.3404477783702897
227,0.11873768218175931,0.40287852809218727,0.2608081051369733,0.21227081928660416,0.5743598180807183,0.39331531868366126
228,0.1291239579058928,0.47607380122265985,0.30259887956427634,0.22871529206655034,0.6450541982769682,0.43688474517175924
229,0.12191266142418561,0.28237524749105275,0.20214395445761918,0.21733003934446457,0.44039410156039044,0.3288620704524275
230,0.09022670407123275,0.6200202672737032,0.355123485672468,0.16551915988536922,0.7654475438348951,0.4654833518601322
231,0.1491288978659603,0.556675601452769,0.3529022496593646,0.25955120986497965,0.7152108004175706,0.48738100514127514
232,0.08717493493637465,0.26086743445191396,0.1740211846941443,0.16036965558165014,0.41379042288503604,0.2870800392333431
233,0.117201414845553,0.42180927970488,0.2695053472752165,0.20981250701648183,0.5933415764348274,0.4015770417256546
234,0.13404429427412284,0.45739190843154354,0.29571810135283316,0.23640045622719116,0.6276855330201363,0.43204299462366375
